Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,10th Percentile (ppb),90th Percentile (ppb),Mean (ppb),Note 1,Note 2,Note 3
2015,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Nitric Oxide (NO),13,16,14.4,,,
2016,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Nitric Oxide (NO),10.5,13.2,11.8,,,
2017,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Nitric Oxide (NO),8.8,11.5,10.2,,,
2018,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Nitric Oxide (NO),8.1,9.2,8.7,,,
2010,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Nitric Oxide (NO),21.2,35,27.9,,,
2011,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Nitric Oxide (NO),15.8,28.8,22.1,,,
2012,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Nitric Oxide (NO),13.5,26.1,19.6,,,
2013,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Nitric Oxide (NO),19.3,31.8,25.3,,,
2014,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Nitric Oxide (NO),16,27.3,21.6,,,
2015,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Nitric Oxide (NO),16.4,26.2,21.2,,,
2016,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Nitric Oxide (NO),14.5,22.9,18.5,,,
2017,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Nitric Oxide (NO),14,20.6,17,,,
2018,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Nitric Oxide (NO),11.8,17.6,14.3,,,
2010,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Nitric Oxide (NO),20.9,29.8,25.2,,,
2011,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Nitric Oxide (NO),16.2,24,20,,,
2012,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Nitric Oxide (NO),14.4,21.7,18,,,
2013,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Nitric Oxide (NO),18.3,26.1,22.3,,,
2014,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Nitric Oxide (NO),16.4,23,19.6,,,
2015,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Nitric Oxide (NO),15.5,20.8,18.1,,,
2016,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Nitric Oxide (NO),13,17.7,15.3,,,
2017,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Nitric Oxide (NO),12.2,17.1,14.6,,,
2018,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Nitric Oxide (NO),9.2,11,10.1,,,
2010,Neighborhood (UHF 34),Manhattan, East Harlem,303,Nitric Oxide (NO),26.7,37.6,32.2,,,
2011,Neighborhood (UHF 34),Manhattan, East Harlem,303,Nitric Oxide (NO),21.5,31.4,26.4,,,
2012,Neighborhood (UHF 34),Manhattan, East Harlem,303,Nitric Oxide (NO),19.1,28.3,23.7,,,
2013,Neighborhood (UHF 34),Manhattan, East Harlem,303,Nitric Oxide (NO),24.1,32.9,28.5,,,
2014,Neighborhood (UHF 34),Manhattan, East Harlem,303,Nitric Oxide (NO),19.7,27.3,23.6,,,
2015,Neighborhood (UHF 34),Manhattan, East Harlem,303,Nitric Oxide (NO),16.1,21.7,18.7,,,
2016,Neighborhood (UHF 34),Manhattan, East Harlem,303,Nitric Oxide (NO),14,18.9,16.4,,,
2017,Neighborhood (UHF 34),Manhattan, East Harlem,303,Nitric Oxide (NO),12.9,18,15.2,,,
2018,Neighborhood (UHF 34),Manhattan, East Harlem,303,Nitric Oxide (NO),12,14.5,13.1,,,
2010,Neighborhood (UHF 34),Brooklyn, East New York,204,Nitric Oxide (NO),20.9,28.3,24.3,,,
2011,Neighborhood (UHF 34),Brooklyn, East New York,204,Nitric Oxide (NO),15.6,22.9,18.8,,,
2012,Neighborhood (UHF 34),Brooklyn, East New York,204,Nitric Oxide (NO),13.7,20.8,16.7,,,
2013,Neighborhood (UHF 34),Brooklyn, East New York,204,Nitric Oxide (NO),18.1,25,21.1,,,
2014,Neighborhood (UHF 34),Brooklyn, East New York,204,Nitric Oxide (NO),15.7,22.9,18.9,,,
